title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
The Good Earth,Drama,0,Other,138.0,1.085948,Summer,Aug,7.5
"Good Morning, Vietnam",Comedy,0,Walt Disney Studios,121.0,9.023282,Fall,Dec,7.3
The Good Mother,Drama,0,Walt Disney Studios,104.0,1.94247,Fall,Nov,5.8
Grumpy Old Men,Comedy,1,Other,103.0,7.529482,Fall,Dec,7.0
Guess Who's Coming to Dinner,Comedy,0,Sony Pictures,108.0,5.032469,Fall,Dec,7.8
Romeo Must Die,Action,1,WarnerMedia,115.0,8.369176,Winter,Mar,6.1
Here On Earth,Romance,0,Walt Disney Studios,96.0,3.199357,Winter,Mar,5.2
Whatever It Takes,Drama,0,Sony Pictures,94.0,3.550711,Winter,Mar,5.5
Buddy Boy,Drama,0,Other,105.0,0.078239,Summer,Sep,6.3
The Color of Paradise,Drama,0,Other,90.0,2.066253,Winter,Feb,8.2
Waking the Dead,Drama,0,Other,105.0,1.241671,Winter,Mar,6.5
Blood and Sand,Drama,0,Other,113.0,1.334127,Summer,Sep,4.7
Gothic,Drama,0,Other,84.0,2.578902,Fall,Nov,5.8
Hillbillys in a Haunted House,Comedy,0,Other,86.0,0.287059,Spring,May,2.7
Lord of the Flies,Thriller,0,Other,92.0,7.597775,Summer,Aug,6.9
Modern Times,Drama,0,Other,87.0,8.159556,Winter,Feb,8.5
Solar Crisis,Adventure,0,Other,112.0,0.653162,Summer,Jul,4.1
That's Life!,Comedy,0,Other,102.0,1.390361,Fall,Oct,6.0
Heart and Souls,Fantasy,0,NBCUniversal,104.0,8.450231,Summer,Aug,7.0
Hud,Action,0,Other,112.0,4.526285,Spring,May,7.8
The Hustler,Drama,1,Other,134.0,9.333533,Summer,Sep,8.0
Inherit the Wind,Drama,0,Other,128.0,6.302173,Spring,Jun,8.1
Dersu Uzala,Action,0,Other,144.0,4.713259,Summer,Aug,8.3
Close Encounters of the Third Kind,Other,0,Other,135.0,10.610446,Fall,Nov,7.6
The City of the Dead,Other,0,Other,76.0,1.514972,Summer,Sep,6.8
Jonah Who Will Be 25 in the Year 2000,Drama,0,Other,116.0,0.007963,Winter,Jan,7.6
Retroactive,Other,0,Other,91.0,2.780487,Winter,Jan,6.2
A Place in the Sun,Drama,0,ViacomCBS,122.0,6.656993,Spring,Jun,7.8
Jacob's Ladder,Drama,0,Other,113.0,8.176863,Fall,Nov,7.5
Empire Records,Comedy,0,Other,90.0,7.188728,Summer,Sep,6.7
La Bamba,Drama,0,Sony Pictures,108.0,6.476534,Summer,Jul,6.9
Ladyhawke,Adventure,0,Walt Disney Studios,121.0,8.157587,Winter,Mar,7.0
Lucas,Comedy,0,Other,108.0,4.57535,Winter,Mar,6.9
High Fidelity,Comedy,0,Walt Disney Studios,113.0,8.524956,Winter,Mar,7.5
The Road to El Dorado,Adventure,0,NBCUniversal,89.0,8.755188,Winter,Mar,6.9
The Skulls,Crime,1,NBCUniversal,106.0,11.363754,Winter,Mar,5.7
Autopsy,Horror,0,Other,85.0,0.172285,Winter,Jan,5.9
Devil Girl from Mars,Other,0,Other,77.0,1.173332,Spring,May,5.0
El Dorado,Other,0,ViacomCBS,120.0,7.070669,Fall,Dec,7.6
The Hideous Sun Demon,Horror,0,Other,74.0,0.400823,Summer,Aug,4.3
Hook,Adventure,0,Other,144.0,14.508137,Fall,Dec,6.8
Horror Express,Horror,0,Other,90.0,12.004189,Summer,Sep,6.6
My Chauffeur,Comedy,0,Other,97.0,0.185346,Winter,Jan,5.7
Torso,Horror,0,Other,97.0,2.911722,Winter,Jan,6.5
True Grit,Other,1,Other,128.0,12.497833,Spring,Jun,7.4
Roadside Prophets,Action,0,WarnerMedia,96.0,3.190592,Winter,Mar,6.5
